Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Dark Target) daily 1 ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.5,34.5,-81.5,36.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened%2CAIRS3STD_006_CH4_VMR_A(z%3D1000)%2CMYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean%2CMOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean&variableFacets=dataProductObservation%3AObservation%3BdataFieldMeasurement%3AAerosol%20Optical%20Depth%2CCO%2CNO2%3B&portal=GIOVANNI&format=json"
Fill Value (MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean):, -9999

time, MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean
2019-01-01,-9999
2019-01-02,-9999
2019-01-03,-9999
2019-01-04,-9999
2019-01-05,0.0241804884
2019-01-06,0.0197896664
2019-01-07,0.0457892606
2019-01-08,0.0937443404
2019-01-09,0.0141146572
2019-01-10,0.0205205924
2019-01-11,0.0258247892
2019-01-12,-9999
2019-01-13,-9999
2019-01-14,0.148000007
2019-01-15,0.126405673
2019-01-16,0.0453907765
2019-01-17,0.107326098
2019-01-18,0.138000007
2019-01-19,-9999
2019-01-20,0.0538998309
2019-01-21,0.0291490724
2019-01-22,0.0171257403
2019-01-23,-9999
2019-01-24,0.0629737014
2019-01-25,0.0489944321
2019-01-26,0.0435061127
2019-01-27,0.105356405
2019-01-28,0.0598588631
2019-01-29,0.301000014
2019-01-30,0.0562567174
2019-01-31,0.0721384319
2019-02-01,0.0602453475
2019-02-02,0.0384075088
2019-02-03,0.112030884
2019-02-04,0.0159637346
2019-02-05,0.0635935139
2019-02-06,-9999
2019-02-07,0.151476446
2019-02-08,0.0306050879
2019-02-09,0.128000006
2019-02-10,-9999
2019-02-11,-9999
2019-02-12,-9999
2019-02-13,0.00978342134
2019-02-14,0.0480447224
2019-02-15,-9999
2019-02-16,0.119847854
2019-02-17,-9999
2019-02-18,0.0667441923
2019-02-19,-9999
2019-02-20,-9999
2019-02-21,-9999
2019-02-22,-9999
2019-02-23,-9999
2019-02-24,0.0213642417
2019-02-25,-0.00964322176
2019-02-26,0.0461401715
2019-02-27,0.043000002
2019-02-28,-9999
2019-03-01,-9999
2019-03-02,0.126164894
2019-03-03,-9999
2019-03-04,0.135921695
2019-03-05,0.00632373143
2019-03-06,-9999
2019-03-07,0.0725166657
2019-03-08,-9999
2019-03-09,-9999
2019-03-10,-9999
2019-03-11,0.251972198
2019-03-12,0.0127500006
2019-03-13,-9999
2019-03-14,-9999
2019-03-15,0.059905791
2019-03-16,-0.0500000024
2019-03-17,-0.0131113242
2019-03-18,-0.00884696928
2019-03-19,0.0124002991
2019-03-20,0.0257550104
2019-03-21,0.257000012
2019-03-22,0.00217185848
2019-03-23,-0.0285580399
2019-03-24,0.10373492
2019-03-25,0.570000027
2019-03-26,0.0214251125
2019-03-27,0.00944960575
2019-03-28,0.0168720969
2019-03-29,0.141806824
2019-03-30,0.0826802775
2019-03-31,0.0739936631
2019-04-01,0.0154898392
2019-04-02,0.12990558
2019-04-03,0.048527545
2019-04-04,0.0809894175
2019-04-05,0.240500011
2019-04-06,0.138376802
2019-04-07,0.452000021
2019-04-08,-9999
2019-04-09,0.173917583
2019-04-10,0.0103201319
2019-04-11,-9999
2019-04-12,0.272000013
2019-04-13,-9999
2019-04-14,-9999
2019-04-15,-0.0184024359
2019-04-16,0.0504040716
2019-04-17,0.187830769
2019-04-18,0.127360522
2019-04-19,-9999
2019-04-20,-9999
2019-04-21,0.0947249368
2019-04-22,-0.0242789495
2019-04-23,0.105771361
2019-04-24,0.108132361
2019-04-25,0.361307533
2019-04-26,0.241516758
2019-04-27,0.00571564868
2019-04-28,0.201953114
2019-04-29,0.147970549
2019-04-30,0.234943339
2019-05-01,0.0940000045
2019-05-02,0.236776033
2019-05-03,0.376455782
2019-05-04,0.342809803
2019-05-05,0.217883909
2019-05-06,2.45935044e-05
2019-05-07,0.243226068
2019-05-08,0.107419917
2019-05-09,-9999
2019-05-10,-9999
2019-05-11,-9999
2019-05-12,-9999
2019-05-13,0.0385101633
2019-05-14,0.112975713
2019-05-15,-9999
2019-05-16,0.140866696
2019-05-17,0.252359737
2019-05-18,0.225689532
2019-05-19,0.317138487
2019-05-20,0.226052664
2019-05-21,0.071379575
2019-05-22,0.208465958
2019-05-23,0.484069224
2019-05-24,0.17770248
2019-05-25,0.286982197
2019-05-26,0.136981822
2019-05-27,0.223875877
2019-05-28,0.172685991
2019-05-29,0.0985259465
2019-05-30,0.220195727
